Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,394,1292.5,1,0,1,588,14,10,255,149.957,22.5782,0,69.9476,11.6399,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1539.35,1268.23,1,0,1,758,16,10,255,105.005,15.6319,0,56.0494,9.40517,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,436.2,1193.9,1,0,1,619,14,8,255,77.3005,11.3942,0,38.3431,6.71309,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,833.25,1192.25,1,0,1,1666,24,10,255,125.465,18.7713,0,57.7422,9.69097,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,821,1162,1,0,1,162,8,8,255,60.8395,8.87654,0,17.2458,3.53802,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1170,1156.5,1,0,1,266,9,10,255,93.1128,13.8008,0,45.6483,7.83271,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,799.9,1123.3,1,0,1,803,17,10,255,130.575,19.5579,0,62.9014,10.5146,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,886.75,1114.25,1,0,1,857,16,10,255,126.354,18.9452,0,63.9289,10.6703,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1593.25,1108.75,1,0,1,397,12,8,255,64.3904,9.4005,0,30.8315,5.57441,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,811.5,1093.5,1,0,1,442,12,10,255,98.8122,14.6855,0,46.5103,7.97203,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1774.5,1053.82,1,0,1,922,19,8,255,107.58,16.0477,0,57.3125,9.61706,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1354,1022.5,1,0,1,552,15,8,255,96.1703,14.308,0,54.4817,9.19659,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,870.109,994.005,1,0,1,338,10,8,255,96.9379,14.4142,0,45.0905,7.74427,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,993.5,977.5,1,0,1,280,10,8,255,128.35,19.2429,0,61.818,10.333,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,837.038,959.308,1,0,1,735,16,8,255,146.605,22.0721,0,70.0118,11.6479,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,576.25,954.75,1,0,1,913,17,10,255,182.71,27.6583,0,70.968,11.8487,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1000.62,938.471,1,0,1,813,16,10,255,126.145,18.9077,0,61.4771,10.2964,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1032.25,925.75,1,0,1,533,13,8,255,107.94,16.1032,0,47.6096,8.13095,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,564.5,893.5,1,0,1,713,15,8,255,130.08,19.4923,0,64.8461,10.7953,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,883.78,889.46,1,0,1,697,16,8,255,133.663,20.0316,0,64.4573,10.7699,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1544.79,890.011,1,0,1,1219,20,10,255,152.572,22.9803,0,72.9086,12.1107,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1653,871,1,0,1,482,13,8,255,119.805,17.8693,0,62.859,10.4874,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,481.66,867.38,1,0,1,448,13,10,255,85.3683,12.6161,0,35.3916,6.27036,1, "2021-07-09 [오전 11:01:34]: no comment"
