Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,639,1231,1,0,3,341,12,92,255,93.871,206.387,0,33.1769,72.2311,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,640.5,1212.5,1,0,3,355,12,92,255,95.6535,211.4,0,31.5863,67.5151,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,627.5,1202.5,1,0,3,222,9,94,255,77.491,177.86,0,31.9312,79.563,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,563.361,1132.61,1,0,3,78,7,90,255,59.1154,119.397,0,18.3973,44.0073,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,563.5,1123,1,0,3,166,8,90,255,62.988,130.217,0,31.0116,76.1572,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,142.18,984.24,1,0,2,254,9,94,255,80.5551,183.594,0,32.5973,80.0298,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,130,972,1,0,2,341,11,94,255,86.2669,192.487,0,33.8134,78.6785,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1034.25,849.25,1,0,2,182,8,94,255,78.5385,182.451,0,29.0293,75.7504,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1043.27,834.509,1,0,2,457,13,92,255,90.7243,198.799,0,34.6544,75.9492,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,936.471,715.58,1,0,2,263,10,88,255,80.8821,148.684,0,35.275,95.316,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,941.5,703,1,0,2,189,9,78,255,77.1905,108.28,0,32.0805,94.4485,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,528,669.5,1,0,2,365,11,94,255,74.7123,168.597,0,32.8388,81.6843,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,517.5,650.5,1,0,2,283,10,92,255,75.2933,162.852,0,33.6701,81.1077,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,813.753,597.158,1,0,2,258,11,94,255,88.2907,201.822,0,29.1962,70.6459,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,807,583.5,1,0,2,282,10,94,255,88.8759,198.89,0,31.9625,74.1064,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1136.5,589,1,0,3,235,9,94,255,81.9957,186.949,0,27.7388,70.4745,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1149.5,581.5,1,0,3,126,7,92,255,61.2778,134.341,0,23.8854,63.7639,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1134.3,562.9,1,0,3,165,8,88,255,83.903,158.927,0,36.8931,96.7698,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1153.6,370.887,1,0,2,135,7,92,255,45.7407,96.6815,0,22.0171,55.636,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,673,1707.5,1,0,1,237,9,94,255,69,158.848,0,33.8535,85.5389,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1149,1699,1,0,1,286,10,94,255,77.1643,176.955,0,34.1952,83.1005,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1071,1673,1,0,1,249,9,94,255,70.5743,160.205,0,34.79,86.1791,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,710.75,1655.75,1,0,1,164,8,94,255,53.3598,120.433,0,29.7366,78.2732,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,994,1578,1,0,1,354,11,92,255,82.3531,181.172,0,36.8516,83.0519,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,598.5,1524,1,0,1,148,7,92,255,43.8041,93.6014,0,24.4767,62.2446,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,284.5,1526,1,0,1,295,10,92,255,75.9525,166.047,0,36.1075,84.7709,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1063.5,1524,1,0,1,212,8,94,255,64.6887,145.825,0,32.7601,83.5916,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,805.5,1522.5,1,0,1,211,8,94,255,64.4455,145.057,0,32.8721,83.3917,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,1080.5,1512,1,0,1,210,9,94,255,64.7476,146.405,0,32.3862,83.3397,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,986,1508,1,0,1,328,10,94,255,77.3567,172.076,0,35.8963,84.3096,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,601,1503,1,0,1,345,11,94,255,78.7304,177.014,0,35.1671,83.2966,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,917,1487.5,1,0,1,207,9,92,255,63.5024,142.135,0,32.9668,83.5999,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,711,1480.5,1,0,1,124,7,90,255,30.4758,59.4758,0,16.3357,37.5629,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,832.5,1471.5,1,0,1,231,9,94,255,66.5887,149.723,0,34.1214,85.4324,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,376,1468.5,1,0,1,233,10,94,255,68.0172,154.674,0,33.083,83.8391,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,881,1452.5,1,0,1,250,9,94,255,69.508,155.996,0,34.2995,84.7774,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,124.5,1449.5,1,0,1,200,8,94,255,58.305,132.53,0,31.5408,82.5725,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,794,1436,1,0,1,280,10,16,255,35.9679,10.3571,0,18.5516,2.94595,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,801.75,1394.75,1,0,1,284,10,94,255,74.5634,166.845,0,34.9896,84.5063,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,617,1380,1,0,1,231,9,94,255,61.6623,139.563,0,31.9826,83.1999,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,353.25,1381.25,1,0,1,319,10,94,255,74.2257,167.85,0,34.7849,84.8173,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,960,1364.5,1,0,1,340,11,92,255,76.6294,171.038,0,35.354,83.7681,1, "2021-08-31 [오후 5:08:37]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_A2.png", 1,427.75,1361.75,1,0,1,470,13,92,255,86.9447,189.44,0,36.6516,79.8815,1, "2021-08-31 [오후 5:08:37]: no comment"
