Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,1157,363,1,0,2,276,10,86,255,52.6486,95.6051,0,18.5853,32.8907,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,1173,361.5,1,0,2,263,10,88,255,54.3574,98.673,0,18.9804,33.5164,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,6,330,1,0,3,88,6,90,255,7.43182,13.9318,0,1.61783,1.97463,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,189.75,118.25,1,0,2,179,8,86,255,19.8045,36.095,0,3.59367,5.69838,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,200.09,109.008,1,0,2,199,9,86,255,19.5126,35.6332,0,3.69349,5.85789,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,347.25,9.25,1,0,5,51,5,88,255,8.01961,14.8627,0,1.3125,1.62684,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,355,5,1,0,5,88,7,88,255,8.20455,15.1932,0,1.56727,2.15658,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,1171.75,1751.25,1,0,1,215,9,88,255,47.4186,86.0977,0,16.8649,29.644,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,1286.5,1707.5,1,0,1,234,9,86,255,62.5769,113.577,0,23.5683,41.8103,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,641.5,1678,1,0,1,320,11,88,255,63.1625,114.697,0,25.3825,45.1121,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,458,1671.5,1,0,1,371,11,86,255,84.0539,152.388,0,35.2484,62.8714,1, "2021-08-06 [오후 1:29:55]: no comment"
"C:\Users\user\Desktop\210806\P14\DH5a_P14(3)_G.png", 1,584.5,1666.5,1,0,1,155,7,88,255,35.4258,64.5677,0,10.5289,18.2444,1, "2021-08-06 [오후 1:29:55]: no comment"
